
Buscar...
Código	Nombre	Estado	Cuenta Compras	Cuenta Ventas	Stock	Precio de Ultima Compra	Precio de Venta por Defecto	Etiqueta	Acciones
3169930640608	TUBO COAXIAL 60/100 POR 5M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
232783.001	TEE 16-RP1/2-16 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 196,33	$ 0,00		  
216779.001	TERMINAL RECTO R.I. 1/2 x 20 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
216778.001	REHAU – RAUBASIC - ACOPLAMIENTO ROSCA EXT. 16 - R 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.288,35	$ 0,00		  
216777.001	REHAU - RAUBASIC - CODO DE PARED, CORTO 20 - RP 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.104,89	$ 0,00		  
216774.001	REHAU RAUBASIC CODO 90°32		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.991,97	$ 0,00		  
216773.001	REHAU RAUBASIC CODO 90°25		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.559,08	$ 0,00		  
216772.001	REHAU RAUBASIC CODO 90° 20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.558,90	$ 0,00		  
216771.001	REHAU RAUBASIC CODO 90°16		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.320,27	$ 0,00		  
216768.001	REHAU - RAUBASIC - ACOPLAMIENTO ROSCA INT. 16 - RP 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.249,14	$ 0,00		  
216762.001	REHAU Acoplamiento racor movil 25 G3/4&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 7.271,80	$ 0,00		  
223646805679	REHAU Acoplamiento rosca ext. 32R 1&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
216753.001	REHAU Acoplamiento roca ext 25R 3/4		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
216734.001	REHAU RAUBASIC Pieza 20-16-20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.143,76	$ 0,00		  
216726.001	REHAU RAUBASIC Manguito reducción 32-25		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.083,24	$ 0,00		  
216725.001	REHAU RAUBASIC Manguito reducción 25-20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.629,25	$ 0,00		  
216724.001	REHAU RAUBASIC Manguito reducción 20-16		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.328,15	$ 0,00		  
216723.001	REHAU RAUBASIC Manguito acoplamiento32		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
216722.001	REHAU RAUBASIC Manguito acoplamiento 25		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.939,94	$ 0,00		  
216721.001	REHAU RAUBASIC Manguito acoplamiento20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.606,30	$ 0,00		  
216720.001	REHAU RAUBASIC Manguito acoplamiento16		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.007,11	$ 0,00		  
216644.050	REHAU RAUBASIC PE-Xa32*2.9mm EVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
209203.001	REHAU – RAUBASIC – PIEZA EN T25-16-20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.299,97	$ 0,00		  
204932.050	REHAU REUBASIC PE-Xa25*2.3mmEVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.474,04	$ 0,00		  
204912.240	REHAU RAUBASIC PE-Xa 20*2.0mm EVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.328,35	$ 0,00		  
138063.001	REHAU Soporte media caña 32pres. 3 mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
138053.001	REHAU Soporte media caña 25 pres. 3 mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
138043.001	REHAU Soporte media caña 20pres.3mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
138033.001	REHAU Soporte media caña 16 pres. 3mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9622644374104	TUBO COAXIAL 60/100 POR 4M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
377686997513	Separador hidráulico TIEMME 2&quot; 8,5M3/H		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 39.555,00	$ 0,00		  
9185555696633	Aislación Separador Hidráulico		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9107248057166	Bomba presurizadora Pluvius 100W		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
3249187605	Ajuste		Caja ($)	Caja ($)		$ 16,12	$ 0,00		  
1048379256	KIT SALIDA VERTICAL 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6801325794	KIT ASPIRAC BITUBO TOP MAXX		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 23.538,20	$ 0,00		  
4386917205	KIT SALIDA VERTICAL 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 23.538,20	$ 0,00		  
147681746884	ELEMENTO PARA RADIADOR TRIANGULAR BJ 500		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.600,00	$ 0,00		  
8523169975722	TUBO INTERPLAST PERT 20MM ROLLO X 400M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5473180926	RACOR MOVIL hembra 25*G3/4&quot;REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 6.940,00	$ 0,00		  
4508162739	MANGUITO REDUCIDO 25-20 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.455,25	$ 0,00		  
9648371025	REHAU CASQUILLO DE PRESION 32 x 2,9MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.128,58	$ 0,00		  
7032759731073	TUBO RAUBASIC PE-XA 20*2MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9671781183263	TUBO PEX SALADILLO HIFROFLEX 20MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 824,72	$ 0,00		  
790531767778	COLECTOR POLIAMIDA LUXUS SALADILLO H3 6 SALIDAS 20MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 112.208,65	$ 0,00		  
4666577846212	COLECTOR POLIAMIDA LLUXUS SALADILLO H3 5 SALIDAS 20MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 100.982,22	$ 0,00		  
5078812173075	REHAU - CURVA GUIA 90°- 20MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2652784148060	REGLETA CENTRAL PARA AUTOMATIZACIÓN REHAU 7 VIAS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 80.583,65	$ 0,00		  
5245281473009	EPS 20MM X 25KG (AISLACION DE TELGOPOR)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 11.578,75	$ 0,00		  
1283551379673	BOMBA DE CALOR TRIANGULAR TRIPOOL 90		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.445.000,00	$ 0,00		  
2560417398	Corr. 1&quot; rojo 16/19/25MM*25M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 132.013,20	$ 0,00		  
3896247015	Corr. 1&quot; AZUL 16/19/25MM*25M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 132.013,20	$ 0,00		  
6951837240	Corr. 1 1/4&quot; ROJO 20/25/32MM*25M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 9.430,00	$ 0,00		  
0167329584	Corr. 1 1/4&quot; AZUL 20/25/32MM*25M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 9.430,00	$ 0,00		  
2563019784	Corr. 1 1/2&quot; ROJO 26/32/38MM*25M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 219.802,80	$ 0,00		  
4783265109	Corr. 1 1/2&quot; AZUL 26/32/38MM*25M		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 219.802,80	$ 0,00		  
9165748032	separador hidráulico multibombas para dos calderas y 3 bombas secundarias. Inox 304		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 800.000,00	$ 0,00		  
2964175083	TEE 20-20-16 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.061,85	$ 0,00		  
9342056718	seguros en general		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 985,83	$ 0,00		  
2467531980	RAUBASIC Press Tool set RB		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 256.463,16	$ 0,00		  
9174063528	RAUBASIC Press Tool set RB		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 384.694,74	$ 0,00		  
4689021375	REHAU RAUBASIC acoplamiento racor movil 16		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.859,02	$ 0,00		  
3405861279	REHAU RAUBASIC acoplamiento racor movil 20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.937,25	$ 0,00		  
9243988762136	Elemento de radiador Peisa Broen 700 NEGRO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 48.291,23	$ 0,00		  
9873602415	gastos bancarios		Gastos Bancarios	Gastos Bancarios		$ 0,00	$ 0,00		  
0952167843	PERSONAL		Sueldos Devengados	Sueldos Devengados		$ 0,00	$ 0,00		  
6893154720	INTERCAMBIADOR DE CALOR 25KW 3/4&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 445.000,00	$ 0,00		  
2596380741	REGALO EMPRESARIAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 407.055,37	$ 0,00		  
0517834269	TEE 25-20-25 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.896,45	$ 0,00		  
2058493716	REHAU RAUBASIC TUBO pex A 20mm*2mm		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2489067351	REHAU RAUBACIC TUBO pex A 20mm*2mm		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 725,33	$ 0,00		  
5714903268	JUNTAS DE FIBRA RADIADORES		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 372,24	$ 0,00		  
5932018764	MONOPLAQUETA UNICAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 114.036,00	$ 0,00		  
0486139275	CABEZAL TERMOSTATICO HIDROFLEX 220V		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 20.974,82	$ 0,00		  
6073985142	GABINETE PARA COLECTOR		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 46.462,17	$ 0,00		  
8384374040049	COLECTOR DE 3 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 245.188,66	$ 0,00		  
1828300402116	COLECTOR DE 5 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 501.630,00	$ 0,00		  
7255065019310	COLECTOR DE 6 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 273.060,59	$ 0,00		  
2833497791920	CALEFÓN CALDAIA DIGITAL TOP 35 TBF		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9205437618	REHAU - RAUTHERM - S 16 X 2,0 ROLLO X 400 MTS. EVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 992,74	$ 0,00		  
5438906712	REHAU - RAUTHERM - S 20 X 2,0 ROLLO X 400 MTS. EVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.272,05	$ 0,00		  
7869410523	Servicio financiero Getnet		Gastos Varios Administracion	Gastos Varios Administracion		$ 0,00	$ 0,00		  
0957283461	Proyecto y Planimetria		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
4843961404357	CABEZAL ELECTRICO TERMOSTATICO GIACOMINI R 473X221 NC- PARA COLECTOR		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5586415564781	VALVULA DE ZONA DE 3 VIAS- R292Y005-GIACOMINI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9605037602541	KIT TUBO EXCENTRICO PARA INSTALACION DE VALVULA DE 3 VIAS R278 Y R292E R193Y011 GIACOMINI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2640157389	KIT SALIDA HUMOS COAX. 60/100 (CODO+0.8m CAÑO+TERMINAL ANTIV)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,10	$ 0,00		  
4263935013685	PLAQUETA ELECTRÓNICA CALDAIA DIGITAL TOP SA26F		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7260838711772	FAN COIL SABIANA CARISMA MODELO CRC53 6550KCAL/H		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7990723613420	FAN COIL SABIANA CARISMA MODELO CRC63 8140KCAL/H		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6310895317023	CALDERA CALDAIA DIGITAL M70F TIRO FORZADO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.665.008,00	$ 0,00		  
7795677921181	ELEMENTO DE RADIADOR PEISA TROPICAL 500		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9329845049237	REHAU RAUBASIC TUBO PE-RT 20mm*2.0mm		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 890,53	$ 0,00		  
6970234697198	VALVULA SOLENOIDE SALADILLO		Bienes de Cambio (Factura Recibida)	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6620583908503	Terminal toma de aire / Salida de humos - Vertical ITALIA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9174437361472	KIT DE SALIDA DE HUMOS VERTICAL COAXIAL 100/60		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
0983526147	TEE 16-25-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
0986517234	INTERCAMBIADOR DE CALOR IP 10 PLACAS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9073526148	INTERCAMBIADOR DE CALOR IP 14 PLACAS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5216954915890	ABRAZADERA TUBO 100MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 17.398,90	$ 0,00		  
189819331428	ACUMULADOR ELBI/TERMICOL DOBLE SERPENTINA 200 LITROS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
4502533106707	ACUMULADOR ELBI/TERMICOL SIMPLE SERPENTINA 150 LITROS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
7136045982	SEPARADOR HIDRÁULICO CALEFFI 18M3/H		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2195408376	TANQUE ACUMULADOR BOILER PARA AGUA HAC-500 DE 500LTS SIN SERPENTINA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7861059324	CODO COAXIAL 100/60 45° PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Servicios		$ 48.510,00	$ 0,00		  
5710151197175	TERMOTANQUE ELECTRICO BAXI TE680		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
7030840052156	ELEMENTO DE RADIADOR TRIANGULAR BJ600		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
1449218711552	Caldera Luna duo tec E 28		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
7526019483	TUBO Cobrapert TIEMME neutro 20mm		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7464659670881	ABRAZADERA TUBO 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 16.255,86	$ 0,00		  
1866355625498	ARO DE TERMINACIÓN 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7156298297778	COLECTOR DE 8 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
1319382655237	COLECTOR DE 9 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
6300473085601	COLECTOR DE 7 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4899710983849	BOMBA CIRCULADORA WILO MODELO STAR RS 25/6-130		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9114662973559	TERMOSTATO ASUA HY311WW WIFI (BLANCO) 2.4Ghz		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 50.082,96	$ 112.716,00		  
5893562699109	TUBO RAUBASIC PE-XA 16*2MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1519559105965	REHAU – RAUBASIC – PIEZA EN T20-16-20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.593,31	$ 0,00		  
3905162232578	REHAU – RAUBASIC – PIEZA EN T20-16-16		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.890,94	$ 0,00		  
9932200486800	REHAU – RAUBASIC – PIEZA EN T16-16-16		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.459,38	$ 0,00		  
5841456694929	VALVULA + DETENTOR ESCUADRA TERMOSTATIZABLE S/CABEZAL CALEFFI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00	
Triangular
  
3644392202118	ACUMULADOR PRESURISABLE SIN SERPENTINA 100 LTS HEATCRAFT HAC-100		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 513.678,00	$ 0,00		  
9785146302	UNICAL DIGITAL G30/G30P 3.000/25.000 KCAL/H		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9170562348	DISPLAY 7 SEGMENTOS GENIUS 3 CIFRAS CALDAIA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1480562397	VASO DE EXPANSSIÓN 14 LITROS RECTANGULAR M60/M70		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8310479625	ENCENDEDOR REMOTO PARA CALDERA M60/M70 CALDAIA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4723516890	CABLE DE ENCENDIDO PARA CALDERA MURAL/M60/M70 CALDAIA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1593175141373	BOMBA CIRCULADORA WILO TOP RL 30/6.5		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 922.140,00	$ 0,00		  
3023774712118	Sueldos Permanentes		Sueldos Devengados	Sueldos Devengados		$ 0,00	$ 0,00		  
7395406128	CLIMAT. PISCINAS FLOWING LUXUS CL-60-S		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2961078345	CLIMAT. PISCINAS FLOWING LUXUS CL-60-D		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6950278431	TERMOSTATO TRIANGULAR WIFI HT500S SMART (INALAMBRICO)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 279.400,00		  
5254006639915	CABEZAL TERMOSTATICO REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 24.153,40	$ 0,00		  
7681093542	CURVA CODO 90° 80MM PARA SALIDA DE HUMOS DESDOBLADA CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 23.040,00	$ 0,00		  
6743928105	CUPL 80MM PARA SALIDA UNIONA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5784912603	CURVA CODO 45° 80MM PARA SALIDA UNIONA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 20.160,00	$ 0,00		  
5047392186	CUPLA UNION 80MM PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 12.960,00	$ 0,00		  
0258714396	TERMINAL ANTIVIENTOS 80MM PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 21.600,00	$ 0,00		  
4786773484339	Créditos por venta a compensar		Créditos por Ventas	Créditos por Ventas		$ 0,00	$ 0,00		  
8252572565138	UNIÓN 20-20 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6483751092	CAÑO PEX EVOH PRE AISLADO 16MM*1.8MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1543690287	CAÑO PEX EVOH PRE AISLADO 16MM*1.8MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7361508249	CAÑO PEX EVOH PRE AISLADO 16MM*1.8MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9058147236	CAÑO PEX EVOH PRE AISLADO 16MM*1.8MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1309576428	CAÑO PEX EVOH PRE AISLADO 20MM*1.9MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2450839617	CAÑO PEX EVOH PRE AISLADO 20MM*1.9MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.070,00	$ 0,00		  
5826109734	CAÑO PEX EVOH PRE AISLADO 20MM*1.9MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.530,00	$ 0,00		  
6253189047	CAÑO PEX EVOH PRE AISLADO 25MM*2.3MM,AISLACION ROJA ROLLO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.507,50	$ 0,00		  
1690428735	KIT 11*085		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 47.400,00	$ 0,00		  
5670819342	KIT 11*085		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 47.400,00	$ 0,00		  
9342605178	BOMBA DE CALOR HEATCRAFT HEC - 006 CS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
0875124369	RADIADOR BJ BIMETALICO 500		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1482375906	TEE 32-25-32 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 12.600,00	$ 0,00		  
5491607823	AIRE ACONDICIONADO PISO TECHO 3TR INVERTER BGH		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
0612487593	AIRE ACONDICIONADO PISO TECHO 3TR INVERTER YORK		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4158032769	AIRE ACONDICIONADO PISO TECHO 3TR INVERTER BGH		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
3466915693765	AIRE ACONDICIONADO SPLIT ELECTRA INVERTER 3000		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8386354679253	AIRE ACONDICIONADO SPLIT BGH COOLTIME INVERTER 3000		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9528137406	ELEMENTO DE RADIADOR PEISA BROEN NEGRO 500MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5047869231	ELEMENTO DE RADIADOR PEISA BROEN NEGRO 500MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4275093681	kit completos para radiadores negros con válvulas cromadas		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7046344395503	Ablandador de Agua TRIANGULAR (AAd001)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.020.000,00	$ 0,00		  
549473263390	UNIÓN 25-25 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7551489765898	UNIÓN 32-32 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6547398032826	UNIÓN 16-16 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7663049488496	VÁLVULA MEZCLADORA TERMOSTÁTICA GIACOMINI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2466101832355	TERMINAL RECTO R.E. 1/2 x 20 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9880605327750	TERMINAL RECTO R.I. 1/2 x 16 ROSCA LOCA REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6526256076925	TERMINAL RECTO R.I. 1/2 x 20 ROSCA LOCA REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8670637655782	TERMINAL RECTO R.I. 3/4 x 25 ROSCA LOCA REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8475908943810	TERMINAL RECTO R.E. 3/4 x 20 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5476181563289	TERMINAL RECTO R.I. 3/4 x 25 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6176601628030	TERMINAL RECTO R.E. 3/4 x 25 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1792453957453	REHAU - RAUBASIC - ACOPLAMIENTO ROSCA INT. 32 - RP 1&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 6.975,11	$ 0,00		  
1913342892952	TERMINAL RECTO R.E. 1 x 32 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
