
Buscar...
Código	Nombre	Estado	Cuenta Compras	Cuenta Ventas	Stock	Precio de Ultima Compra	Precio de Venta por Defecto	Etiqueta	Acciones
3997066119741	Banco Santander Rio (Cta. Cte. $ - Valores Diferidos)		Banco Santander Rio (Cta. Cte. $ - Valores Diferidos)	Banco Santander Rio (Cta. Cte. $ - Valores Diferidos)		$ 0,00	$ 0,00		  
9529924828843	Tarjeta de Credito VISA - Santander Credito		Banco Santander Rio (Cta. Cte. $)	Banco Santander Rio (Cta. Cte. $)		$ 0,00	$ 0,00		  
4569058087029	Peajes		Movilidad y Viaticos	Movilidad y Viaticos		$ 0,00	$ 0,00		  
7510141739943	seguros de retiro		Seguros a Pagar	Seguros a Pagar		$ 0,00	$ 0,00		  
8682802415276	Materiales varios para mantenimiento, reparaciones y servicios técnicos		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 22.842,00	$ 0,00		  
6380562019801	CALDERA BAXI ECO NOVA 24 F		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.228.250,00	$ 0,00	
Triangular
  
3034247006316	CALDERA BAXI ECO NOVA 31 F		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.100.000,00	$ 1.650.000,00	
Triangular
  
8009873275225	Caldera Caldaia DIGITAL Top Sa26 - DS / TF B		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.086.884,00	$ 0,00		  
7955502426921	Caldera DemirDokum NEPTO 24 - DS / TF		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 946.009,97	$ 0,00		  
2347557379350	ABRAZADERA TUBO 60MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 11.040,00	$ 0,00		  
9473976562413	BLISTER KIT UNIVERSAL PARA RADIADORES		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.305,50	$ 0,00		  
2909650698927	Toallero Kanah 800 BLANCO (450mm entre ejes )		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 83.164,98	$ 0,00		  
7099911100064	Mano de obra Instalación de radiadores		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 15.000,00	$ 0,00		  
3662517632043	Mano de obra Instalación de caldera		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
4857288537757	Agua Destilada para llenado de circuito		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6431534215715	MANÓMETRO 0-4BAR 1/2&quot; CONEXIÓN INFERIOR - CUADRANTE 2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 8.049,60	$ 0,00		  
8156086371409	TERMÓMETRO 0-100° 1/2&quot; POST - V15CM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9287228169773	FILTRO BRONCE 2&quot; MALLA 50 MICRONES		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8430734166723	REHAU - CURVA GUIA 90°- 16MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8781475224715	REHAU - CURVA GUIA 90°- 25MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.831,09	$ 0,00		  
2204381348665	VALVULA DE SEGURIDAD 3 BAR BRONCE RM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1162686794214	PURGA DE COLUMNA - DESAIREADOR- BRONCE 1/2&quot; INF		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 7.401,60	$ 0,00		  
712786485231	Toallero Kanah 800 CROMADO (450mm entre ejes )		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 163.119,05	$ 0,00		  
2778705702448	VALVULA DE RETENCIÓN BRONCE 1 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4085128571963	TEE 16-16-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5833668169222	Toallero Kanah Cromado 1200 (450mm ee)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2749965564355	TEE 16-20-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8450517118170	TEE 20-16-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9129027223661	TEE 20-16-20 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
776912742178	TEE 20-20-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.257,00	$ 0,00		  
4183694637218	TEE 20-25-20 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
116510993752	TEE 20-20-20 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 256,74	$ 0,00		  
9828440685392	TEE 25-16-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.145,25	$ 0,00		  
4824939916891	BOMBA CIRCULADORA WILO TOP - S 30/10 EM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 172.940,33	$ 0,00		  
867650933426	CASQUILLO DE PRESION 25 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6881555862911	CASQUILLO DE PRESION 20 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9363903486370	CASQUILLO DE PRESION 16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2659208825060	UNIÓN 25-25 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5073835726329	UNIÓN 20-20 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7760285330236	UNIÓN 16-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9797654228590	MANGUITO REDUCCIÓN 20-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9724866727834	MANGUITO REDUCCIÓN 25-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7638330739231	TERMINAL RECTO R.I. 3/4 x 25 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7717926548020	CODO DE PARED 25 RP 3/4 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.625,98	$ 0,00		  
9756365405279	CODO DE PARED 20RP 3/4 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.104,89	$ 0,00		  
5280089915046	CODO DE PARED 16 RP 1/2 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.920,84	$ 0,00		  
